"filename", "language", "JSON with Comments", "TypeScript", "XML", "PostCSS", "TypeScript JSX", "JSON", "comment", "blank", "total"
"d:\Exam-paper\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 4465, 0, 1, 4466
"d:\Exam-paper\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 52, 0, 1, 53
"d:\Exam-paper\frontend\public\vite.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Exam-paper\frontend\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 938, 0, 1, 80, 1019
"d:\Exam-paper\frontend\src\QuestionEditor.tsx", "TypeScript JSX", 0, 0, 0, 0, 1077, 0, 13, 117, 1207
"d:\Exam-paper\frontend\src\appRoutes.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 7, 31
"d:\Exam-paper\frontend\src\assets\animations\noInternet.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Exam-paper\frontend\src\assets\animations\workingCat.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\Exam-paper\frontend\src\components\AgentChatPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 1136, 0, 40, 72, 1248
"d:\Exam-paper\frontend\src\components\AgentConnector.tsx", "TypeScript JSX", 0, 0, 0, 0, 50, 0, 0, 8, 58
"d:\Exam-paper\frontend\src\components\AgentConversationHistory.tsx", "TypeScript JSX", 0, 0, 0, 0, 128, 0, 4, 6, 138
"d:\Exam-paper\frontend\src\components\AgentWorkspacePanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 775, 0, 27, 887, 1689
"d:\Exam-paper\frontend\src\components\AnimatedHeartButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 160, 0, 12, 14, 186
"d:\Exam-paper\frontend\src\components\AppHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 128, 0, 0, 5, 133
"d:\Exam-paper\frontend\src\components\AuthScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 160, 0, 2, 18, 180
"d:\Exam-paper\frontend\src\components\BrandIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 79, 0, 0, 10, 89
"d:\Exam-paper\frontend\src\components\EditorConnector.tsx", "TypeScript JSX", 0, 0, 0, 0, 129, 0, 0, 13, 142
"d:\Exam-paper\frontend\src\components\EditorWorkspaceShell.tsx", "TypeScript JSX", 0, 0, 0, 0, 192, 0, 0, 8, 200
"d:\Exam-paper\frontend\src\components\ExportTemplateDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 172, 0, 0, 19, 191
"d:\Exam-paper\frontend\src\components\FavoriteButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 146, 0, 8, 20, 174
"d:\Exam-paper\frontend\src\components\FavoriteConfigDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 368, 0, 34, 46, 448
"d:\Exam-paper\frontend\src\components\FavoritesPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 353, 0, 16, 31, 400
"d:\Exam-paper\frontend\src\components\FileTabsBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 178, 0, 0, 11, 189
"d:\Exam-paper\frontend\src\components\FlashcardPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 387, 0, 25, 37, 449
"d:\Exam-paper\frontend\src\components\MainLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 171, 0, 8, 17, 196
"d:\Exam-paper\frontend\src\components\MarkdownWithMath.tsx", "TypeScript JSX", 0, 0, 0, 0, 194, 0, 4, 25, 223
"d:\Exam-paper\frontend\src\components\MetalInputBox.tsx", "TypeScript JSX", 0, 0, 0, 0, 256, 0, 0, 10, 266
"d:\Exam-paper\frontend\src\components\OpenUiHitlRenderer.tsx", "TypeScript JSX", 0, 0, 0, 0, 285, 0, 0, 17, 302
"d:\Exam-paper\frontend\src\components\PreviewPaneShell.tsx", "TypeScript JSX", 0, 0, 0, 0, 180, 0, 0, 7, 187
"d:\Exam-paper\frontend\src\components\QuestionTypeSelectField.tsx", "TypeScript JSX", 0, 0, 0, 0, 88, 0, 0, 9, 97
"d:\Exam-paper\frontend\src\components\RobotGlowFace.tsx", "TypeScript JSX", 0, 0, 0, 0, 233, 0, 0, 44, 277
"d:\Exam-paper\frontend\src\components\SelectionPane.tsx", "TypeScript JSX", 0, 0, 0, 0, 117, 0, 0, 7, 124
"d:\Exam-paper\frontend\src\components\SelectionWorkspace.tsx", "TypeScript JSX", 0, 0, 0, 0, 305, 0, 0, 12, 317
"d:\Exam-paper\frontend\src\components\SourcePaneConnector.tsx", "TypeScript JSX", 0, 0, 0, 0, 155, 0, 0, 12, 167
"d:\Exam-paper\frontend\src\components\TranslationInlineIndicator.tsx", "TypeScript JSX", 0, 0, 0, 0, 48, 0, 0, 7, 55
"d:\Exam-paper\frontend\src\components\TranslationToolbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 48, 0, 0, 8, 56
"d:\Exam-paper\frontend\src\components\UserMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 67, 0, 0, 8, 75
"d:\Exam-paper\frontend\src\components\WorkroomHomeShell.tsx", "TypeScript JSX", 0, 0, 0, 0, 78, 0, 0, 4, 82
"d:\Exam-paper\frontend\src\components\WorkroomSourceTimeline.tsx", "TypeScript JSX", 0, 0, 0, 0, 118, 0, 0, 8, 126
"d:\Exam-paper\frontend\src\components\WorkspacePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 369, 0, 0, 19, 388
"d:\Exam-paper\frontend\src\components\questionRenderers\McqAnswerRenderer.tsx", "TypeScript JSX", 0, 0, 0, 0, 184, 0, 4, 16, 204
"d:\Exam-paper\frontend\src\components\questionRenderers\ParagraphMatchingRenderer.tsx", "TypeScript JSX", 0, 0, 0, 0, 240, 0, 0, 16, 256
"d:\Exam-paper\frontend\src\components\questionRenderers\ReadingQuestionRenderer.tsx", "TypeScript JSX", 0, 0, 0, 0, 99, 0, 0, 5, 104
"d:\Exam-paper\frontend\src\components\questionRenderers\fillBlank\FillBlankRenderer.tsx", "TypeScript JSX", 0, 0, 0, 0, 174, 0, 9, 22, 205
"d:\Exam-paper\frontend\src\components\questionRenderers\fillBlank\answerState.ts", "TypeScript", 0, 43, 0, 0, 0, 0, 3, 10, 56
"d:\Exam-paper\frontend\src\components\questionRenderers\fillBlank\hooks\useFillBlankNavigation.ts", "TypeScript", 0, 46, 0, 0, 0, 0, 2, 8, 56
"d:\Exam-paper\frontend\src\components\questionRenderers\fillBlank\parser.ts", "TypeScript", 0, 55, 0, 0, 0, 0, 13, 18, 86
"d:\Exam-paper\frontend\src\components\questionRenderers\fillBlank\types.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 3, 5, 24
"d:\Exam-paper\frontend\src\components\questionRenderers\utils.ts", "TypeScript", 0, 480, 0, 0, 0, 0, 8, 77, 565
"d:\Exam-paper\frontend\src\counter.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 1, 10
"d:\Exam-paper\frontend\src\extensions\TranslationBlock.tsx", "TypeScript JSX", 0, 0, 0, 0, 134, 0, 0, 12, 146
"d:\Exam-paper\frontend\src\extensions\TranslationFootnote.tsx", "TypeScript JSX", 0, 0, 0, 0, 261, 0, 0, 23, 284
"d:\Exam-paper\frontend\src\features\mindmap\MindMapPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 790, 0, 0, 30, 820
"d:\Exam-paper\frontend\src\features\mindmap\api\mindmapApi.ts", "TypeScript", 0, 103, 0, 0, 0, 0, 0, 11, 114
"d:\Exam-paper\frontend\src\features\mindmap\components\MindMapContextActions.tsx", "TypeScript JSX", 0, 0, 0, 0, 116, 0, 0, 7, 123
"d:\Exam-paper\frontend\src\features\mindmap\components\MindMapLoadingAnimation.tsx", "TypeScript JSX", 0, 0, 0, 0, 288, 0, 0, 11, 299
"d:\Exam-paper\frontend\src\features\mindmap\components\MindMapNodeEditor.tsx", "TypeScript JSX", 0, 0, 0, 0, 102, 0, 0, 8, 110
"d:\Exam-paper\frontend\src\features\mindmap\components\MindMapNodeQuickActions.tsx", "TypeScript JSX", 0, 0, 0, 0, 59, 0, 0, 6, 65
"d:\Exam-paper\frontend\src\features\mindmap\components\MindMapRadialMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 112, 0, 0, 12, 124
"d:\Exam-paper\frontend\src\features\mindmap\components\MindMapToolbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 231, 0, 0, 11, 242
"d:\Exam-paper\frontend\src\features\mindmap\constants.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 4, 32
"d:\Exam-paper\frontend\src\features\mindmap\domain\tree.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 5, 36
"d:\Exam-paper\frontend\src\features\mindmap\domain\types.ts", "TypeScript", 0, 58, 0, 0, 0, 0, 0, 9, 67
"d:\Exam-paper\frontend\src\features\mindmap\editor\MindElixirCanvas.tsx", "TypeScript JSX", 0, 0, 0, 0, 815, 0, 3, 49, 867
"d:\Exam-paper\frontend\src\hooks\index.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 1, 5
"d:\Exam-paper\frontend\src\hooks\useAgentChat.ts", "TypeScript", 0, 379, 0, 0, 0, 0, 11, 41, 431
"d:\Exam-paper\frontend\src\hooks\useAgentSync.ts", "TypeScript", 0, 133, 0, 0, 0, 0, 1, 13, 147
"d:\Exam-paper\frontend\src\hooks\useAuth.ts", "TypeScript", 0, 129, 0, 0, 0, 0, 2, 14, 145
"d:\Exam-paper\frontend\src\hooks\useConversation.ts", "TypeScript", 0, 410, 0, 0, 0, 0, 3, 38, 451
